"filename", "language", "PHP", "JavaScript", "CSS", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\prueba\public_html\biblioteca\Vlector.php", "PHP", 50, 0, 0, 0, 0, 16, 66
"c:\xampp\htdocs\prueba\public_html\biblioteca\Vlibro.php", "PHP", 55, 0, 0, 0, 0, 32, 87
"c:\xampp\htdocs\prueba\public_html\biblioteca\Vlibros.php", "PHP", 45, 0, 0, 0, 0, 28, 73
"c:\xampp\htdocs\prueba\public_html\biblioteca\Vprestamo.php", "PHP", 101, 0, 0, 0, 1, 52, 154
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_DetAutor.css", "CSS", 0, 0, 138, 0, 5, 53, 196
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_DetEditorial.css", "CSS", 0, 0, 138, 0, 5, 54, 197
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_DetGenero.css", "CSS", 0, 0, 138, 0, 5, 52, 195
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_EliBibliotecario.css", "CSS", 0, 0, 49, 0, 0, 14, 63
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_EliLector.css", "CSS", 0, 0, 48, 0, 0, 12, 60
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_EliLibro.css", "CSS", 0, 0, 51, 0, 0, 13, 64
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_ModBibliotecario.css", "CSS", 0, 0, 62, 0, 0, 22, 84
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_ModLector.css", "CSS", 0, 0, 62, 0, 0, 22, 84
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_NueBibliotecario.css", "CSS", 0, 0, 21, 0, 2, 3, 26
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_NueLector.css", "CSS", 0, 0, 82, 0, 2, 24, 108
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_NueLibro.css", "CSS", 0, 0, 80, 0, 0, 27, 107
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_bibliotecario.css", "CSS", 0, 0, 65, 0, 0, 25, 90
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_index_bibliotecario.css", "CSS", 0, 0, 111, 0, 0, 34, 145
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_index_lector.css", "CSS", 0, 0, 193, 0, 3, 100, 296
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_inicio.css", "CSS", 0, 0, 61, 0, 0, 26, 87
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_lector.css", "CSS", 0, 0, 64, 0, 2, 22, 88
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_libro.css", "CSS", 0, 0, 64, 0, 2, 24, 90
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_prestamo.css", "CSS", 0, 0, 142, 0, 4, 44, 190
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_prestamoporreserva.css", "CSS", 0, 0, 90, 0, 75, 30, 195
"c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_reservarlibros.css", "CSS", 0, 0, 74, 0, 0, 18, 92
"c:\xampp\htdocs\prueba\public_html\biblioteca\indexbibliotecario.php", "PHP", 62, 0, 0, 0, 1, 42, 105
"c:\xampp\htdocs\prueba\public_html\biblioteca\indexlector.php", "PHP", 114, 0, 0, 0, 1, 96, 211
"c:\xampp\htdocs\prueba\public_html\biblioteca\js\funcionesAccionesLector.js", "JavaScript", 0, 84, 0, 0, 0, 24, 108
"c:\xampp\htdocs\prueba\public_html\biblioteca\js\funcionesAutor.js", "JavaScript", 0, 69, 0, 0, 0, 23, 92
"c:\xampp\htdocs\prueba\public_html\biblioteca\js\funcionesBibliotecario.js", "JavaScript", 0, 123, 0, 0, 0, 37, 160
"c:\xampp\htdocs\prueba\public_html\biblioteca\js\funcionesEditorial.js", "JavaScript", 0, 55, 0, 0, 0, 16, 71
