Date : 2023-11-08 16:54:19
Directory : c:\xampp\htdocs\prueba\public_html
Total : 101 files,  6581 codes, 672 comments, 2793 blanks, all 10046 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_NueBibliotecario.css    | CSS        |         21 |          2 |          3 |         26 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_NueLector.css           | CSS        |         82 |          2 |         24 |        108 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_NueLibro.css            | CSS        |         80 |          0 |         27 |        107 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_bibliotecario.css       | CSS        |         65 |          0 |         25 |         90 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_index_bibliotecario.css | CSS        |        111 |          0 |         34 |        145 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_index_lector.css        | CSS        |        193 |          3 |        100 |        296 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_inicio.css              | CSS        |         61 |          0 |         26 |         87 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_lector.css              | CSS        |         64 |          2 |         22 |         88 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_libro.css               | CSS        |         64 |          2 |         24 |         90 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_prestamo.css            | CSS        |        142 |          4 |         44 |        190 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_prestamoporreserva.css  | CSS        |         90 |         75 |         30 |        195 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\css_l\hoja_reservarlibros.css      | CSS        |         74 |          0 |         18 |         92 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\indexbibliotecario.php             | PHP        |         62 |          1 |         42 |        105 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\indexlector.php                    | PHP        |        114 |          1 |         96 |        211 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\js\funcionesAccionesLector.js      | JavaScript |         84 |          0 |         24 |        108 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\js\funcionesAutor.js               | JavaScript |         69 |          0 |         23 |         92 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\js\funcionesBibliotecario.js       | JavaScript |        123 |          0 |         37 |        160 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\js\funcionesEditorial.js           | JavaScript |         55 |          0 |         16 |         71 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\js\funcionesGenero.js              | JavaScript |         55 |          0 |         15 |         70 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\js\funcionesLector.js              | JavaScript |        121 |          0 |         38 |        159 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\js\funcionesPrestamo.js            | JavaScript |        218 |          0 |         58 |        276 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\js\funcioneslibro.js               | JavaScript |         78 |          0 |         32 |        110 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\js\jquery.js                       | JavaScript |          3 |          1 |          1 |          5 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\js\vistas.js                       | JavaScript |        212 |          0 |         88 |        300 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\listarAutor.php                    | PHP        |         41 |          0 |         18 |         59 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\listarBibliotecario.php            | PHP        |         59 |          0 |         33 |         92 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\listarEditorial.php                | PHP        |         41 |          0 |         18 |         59 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\listarGenero.php                   | PHP        |         41 |          0 |         18 |         59 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\listarLector.php                   | PHP        |         59 |          0 |         32 |         91 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\listarLibro.php                    | PHP        |         71 |          0 |         38 |        109 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\listarStockLibros.php              | PHP        |         62 |          0 |         20 |         82 |
| c:\xampp\htdocs\prueba\public_html\biblioteca\vmetrica.php                       | PHP        |        104 |         12 |         32 |        148 |
| c:\xampp\htdocs\prueba\public_html\css\hoja_acercade.css                         | CSS        |         79 |          0 |         25 |        104 |
| c:\xampp\htdocs\prueba\public_html\css\hoja_index.css                            | CSS        |        145 |          1 |         53 |        199 |
| c:\xampp\htdocs\prueba\public_html\css\hoja_inicio.css                           | CSS        |         59 |          0 |         25 |         84 |
| c:\xampp\htdocs\prueba\public_html\css\hoja_libros.css                           | CSS        |         58 |          2 |         25 |         85 |
| c:\xampp\htdocs\prueba\public_html\db\dbbiblioteca.sql                           | SQL        |        241 |        178 |         99 |        518 |
| c:\xampp\htdocs\prueba\public_html\db\dbbiblioteca_old.sql                       | SQL        |        216 |        163 |         89 |        468 |
| c:\xampp\htdocs\prueba\public_html\dbconexion.php                                | PHP        |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\prueba\public_html\index.php                                     | PHP        |         93 |          4 |         59 |        156 |
| c:\xampp\htdocs\prueba\public_html\js\funcionesLibros.js                         | JavaScript |         16 |          0 |          5 |         21 |
| c:\xampp\htdocs\prueba\public_html\js\jquery.js                                  | JavaScript |          3 |          1 |          1 |          5 |
| c:\xampp\htdocs\prueba\public_html\js\vistas.js                                  | JavaScript |         43 |          0 |         17 |         60 |
| c:\xampp\htdocs\prueba\public_html\listarlibros.php                              | PHP        |         54 |          0 |         37 |         91 |
| Total                                                                            |            |      6,581 |        672 |      2,793 |     10,046 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
